序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立史古比文理短期補習班,2021-05-14,埔里鎮北辰街133號1樓,未經核准使用樓層,糾正件次(列入違規紀錄),2021-05-19,府教社字第1100118497號
2,南投縣私立絕藝圍棋文理短期補習班,2021-05-05,竹山鎮桂林里中正巷27-147號1-2樓,招生旗幟有課輔字樣、未提供定型化契約書、教職員工名冊、公共意外險、建築物安全檢查申報、交通車請核備,糾正件次(列入違規紀錄),2021-05-07,府教社字第1100108317號
3,私立集賢文理短期補習班,2021-04-22,集集鎮佛廟巷18、20號1-2樓,招生看板有課輔字樣、未提供定型化契約、未提供定型及公共意外責任險證明、使用交通車要核備,糾正件次(列入違規紀錄),2021-04-29,府教社字第1100099836號
4,私立大學仕文理短期補習班,2021-04-07,竹山鎮中山里新和街49號1-3樓,聘任教師未依規定定型化契約書,糾正件次(列入違規紀錄),2021-04-15,府教社字第1100088293號
5,私立依德文理短期補習班,2021-03-18,南投市文昌街99號1樓,未提供職員工名冊及定型化契約書,糾正件次(列入違規紀錄),2021-03-18,府教社字第1100068904號
6,私立民傳文理短期補習班,2021-02-05,魚池鄉魚池街334巷4號1-3樓,未提供職員工名冊及定型化契約書,糾正件次(列入違規紀錄),2021-02-20,府教社字第1100041530號
7,私立高飛文理短期補習班,2021-02-03,草屯鎮炎峰街14-1號1-2樓,未提供定型化契約書、授課科目與核准科目不符、立案證書未懸掛,糾正件次(列入違規紀錄),2021-02-05,府教社字第1100035471號
8,私立巧登美語短期補習班,2021-01-15,集集鎮和平里民生路360號1-2樓,未提供職員工名冊及定型化契約書,糾正件次(列入違規紀錄),2021-01-21,府教社字第1100021324號
9,私立伊勵特美語短期補習班,2020-12-18,南投市南陽路177號1-2樓,未提供職員工名冊及定型化契約書,糾正件次(列入違規紀錄),2020-12-30,府教社字第1090305230號
10,私立米娜美語文理短期補習班,2020-10-23,草屯鎮虎山路662巷10號1-2樓,未提供職員工名冊、定型化契約書及個資實施計畫未留班備查,糾正件次(列入違規紀錄),2020-10-28,府教社字第1090249606號
11,私立英中語文短期補習班,2020-10-14,埔里鎮中山路三段48號1-2樓,未提供職員工名冊及立案證書未更換新板,糾正件次(列入違規紀錄),2020-10-20,府教社字第109041705號
12,私立美數館文理短期補習班,2020-09-11,埔里鎮西康路107號1-2樓,未提供職員工名冊及定型化契約書,糾正件次(列入違規紀錄),2020-09-16,府教社字第1090218766號
13,私立暘光文理短期補習班,2020-07-14,南投市南陽路169號1-2樓,,公告撤銷立案,2020-07-22,府教社字第1090167416號
14,私立小博士珠算短期補習班,2020-05-28,南投市漳和里文化路715號1-2樓,,糾正件次(列入違規紀錄),2020-06-01,府教社字第1090129009號
15,太一顧問股份有限公司附設私立竹山博飛特文理短期補習班,2020-05-20,竹山鎮大仁路46號2-3樓,無營業事實,公告撤銷立案,2020-05-29,府教社字第1090123284號
16,私立愛樂福文理短期補習班,2020-05-20,竹山鎮大忠路26號1-2樓,無營業事實,公告撤銷立案,2020-05-29,府教社字第1090123267號
17,私立易學文理短期補習班,2020-05-20,竹山鎮集山路三段515號1-2樓,無營業事實,公告撤銷立案,2020-05-29,府教社字第1090123271號
18,私立張量文理短期補習班,2020-02-21,竹山鎮集山路3段848號4-5樓,無營業事實,公告撤銷立案,2020-03-12,府教社字第1090061219號
19,私立史古比文理短期補習班,2019-12-05,埔里鎮北辰街133號1樓,未提供職員工名冊、違規擴大班舍、擅增類科、立案證書未懸掛,糾正件次(列入違規紀錄),2019-12-17,府教社字第1080283357號
20,巨匠電腦股份有限公司草屯分公司附設南投縣私立巨匠電腦美語短期補習班,2019-08-23,草屯鎮中山街114號1-3樓,教職員工名冊不符,限期改善件次,2019-08-29,府教社字第108196433號
21,私立鄒老師文理短期補習班,2019-07-08,埔里鎮梅子路25之13號1樓,未經核准使用非立案樓層,限期改善件次,2019-07-15,府教社字第1080160518號
22,私立博士門音樂短期補習班,2019-06-21,埔里鎮中正路482號1樓,未投保公共意外責任險、未辦理建築物公共安全檢查申報,限期改善件次,2019-06-25,府教社字第1080145040號
23,私立E-Z語文短期補習班,2019-06-21,埔里鎮民生路77號1樓,立案證書未至本府更換新版,限期改善件次,2019-06-25,府教社字第1080145022號
24,南投縣大鴻海文化有限公司附設私立大東海法商短期補習班,2019-06-14,草屯鎮中正路755號6樓-3,教職員名單與系統不符、擅自使用非立案登記場所,限期改善件次,2019-06-27,府教社字第1080146778號
25,智基科技開發股份有限公司附設南投私立志光法商補習班草屯分班,2019-06-14,草屯鎮中正路699號1-2樓,教職員名單與系統不符,限期改善件次,2019-06-27,府教社字第1080146810號
26,私立好朋友美語短期補習班,2019-05-10,埔里鎮北環路210號1樓,未經核准擅自使用非立案樓層,糾正件次(列入違規紀錄),2019-05-15,府教社字第1080111042號
27,私立真善美慧聖賢教育機構文理短期補習班,2019-04-18,草屯鎮新生路219號1-4樓,教職員工名冊不符、未掛立案證書,限期改善件次,2019-05-02,府教社字第1080099656號
28,私立米娜美語文理短期補習班,2019-04-18,草屯鎮虎山路662巷10號1-2樓,教職員工名冊不符、未經核准使用非立案登記樓層,限期改善件次,2019-05-02,府教社字第1080099648號
29,私立梅根尼美語短期補習班,2019-04-18,草屯鎮新生路410號1-3樓,教職員工名冊不符、未掛立案證書、未簽訂定型化契約書、未提供公共意外險文件,限期改善件次,2019-05-02,府教社字第1080099685號
30,私立昱昇文理短期補習班,2019-03-21,草屯鎮大成街70號1-2樓,未經核准擅自使用非立案登記樓層,限期改善件次,2019-03-28,府教社字第1080072623號
31,私立學風文理短期補習班,2018-11-30,草屯鎮炎峰街127號1-2樓,未掛立案證書、尚未辦理公共安全檢查申報,限期改善件次,2018-12-10,府教社字第1070277445號
32,私立蘇老師文理短期補習班,2018-09-17,魚池鄉魚池村秀水巷33之4號1-2樓,班址與立案證書不符,限期改善件次,2018-09-26,府教社字第1070214511號
33,私立偉達文理短期補習班,2018-06-13,草屯鎮大成街39號2-4樓,招牌非登記類科招生字樣，請立即停止經營課輔班，並修正招牌廣告,糾正件次(列入違規紀錄),2018-06-27,府教社字第1070140024號
