序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,嘉義市私立菁華文理短期補習班,2019-03-07,嘉義市台林街98之1號(1-2樓),,糾正件次(列入違規紀錄),2019-03-12,1081503447
2,嘉義市私立思齊文理短期補習班,2019-03-07,嘉義市嘉北街34、36號（1-2樓）,,糾正件次(列入違規紀錄),2019-03-12,1081503443
3,嘉義市私立顧嘉文理短期補習班,2019-02-19,嘉義市溫州一街101號(1-4樓),,糾正件次(列入違規紀錄),2019-02-23,1081502453
4,私立菁湛文理短期補習班,2019-02-19,嘉義市竹圍四路70號1-2樓,,糾正件次(列入違規紀錄),2019-02-22,1081502429
5,嘉義市私立百佑文理短期補習班,2019-01-24,嘉義市友忠路993號(1-2樓),,糾正件次(列入違規紀錄),2019-01-31,1081501548
6,高人心算短期補習班,2019-01-24,嘉義市友愛路825號2樓,,糾正件次(列入違規紀錄),2019-01-31,1081501546
7,嘉義市私立亞姿技藝短期補習班,2019-01-10,嘉義市民生北路151號5樓,,糾正件次(列入違規紀錄),2019-01-11,1081500574
8,嘉義市私立正昇文理短期補習班,2019-01-10,嘉義市民生南路55巷2號3樓1,,糾正件次(列入違規紀錄),2019-01-11,1081500564
9,嘉義市私立維尼熊文理技藝短期補習班,2019-01-10,嘉義市興業西路94-2號(1-2樓),,糾正件次(列入違規紀錄),2019-01-11,1081500675
10,嘉義市私立中正文理短期補習班,2018-09-28,嘉義市嘉北街66巷41號(1-4樓),,糾正件次(列入違規紀錄),2018-10-01,1071514722
11,嘉義市私立王牌捷葳文理短期補習班,2018-09-28,嘉義市嘉北街12巷60號(1樓),,糾正件次(列入違規紀錄),2018-10-01,1071514723
12,嘉義市私立麗嚴文理技藝短期補習班,2018-09-28,嘉義市嘉北街66巷47號(1-2樓),,糾正件次(列入違規紀錄),2018-10-01,1071514724
13,聖祐語言短期補習班,2011-04-13,嘉義市民生南路295號3-5樓,,公告撤銷立案,2011-04-18,府教社字第1001504236號
14,私立垂楊文理短期補習班,2011-03-18,嘉義市延平街448號3樓之1,補辦遷址,限期改善件次,,
15,私立育志文理短期補習班,2008-12-25,嘉義市西區大統路205號1至2樓,擅自擴充班舍兼辦安親課輔班,糾正件次(列入違規紀錄),2008-12-29,府教社字第0970151707
16,私立佳登文理短期補習班,2008-10-23,嘉義市西區自由路250號1至4樓,未使用定型化契約書、兼辦幼托教育、收據位宰明班名與退費規定,糾正件次(列入違規紀錄),2008-10-28,府教社字第0970084459
17,私立佳登文理短期補習班,2008-10-23,嘉義市西區自由路250號1至4樓,未使用定型化契約書、收據未載明新退費規定、立案證書OK標誌未懸掛及兼辦幼托教育,糾正件次(列入違規紀錄),2008-10-28,府教社字第0970084459號
18,佳育英語短期補習班,2008-09-25,新生路683號1-3樓,市招班名符合規定、更換講師不超過三分之ㄧ之規定,限期改善件次,2008-10-01,府教社字第0970081326號
19,私立柯林文理短期補習班,2007-12-07,嘉義市西區溫州一街113-1號1-2樓,擅自擴大班舍,糾正件次(列入違規紀錄),2007-12-11,府教社字第0960142280號
20,私立垂楊文理短期補習班,2007-11-15,嘉義市延平街448號3樓之1,擅自擴充班舍、建物工安檢查簽證未申報,限期改善件次,2007-11-21,府工使字第0960127596號
21,顧群文理短期補習班,2006-05-05,民樂街25之1號6樓,擅自擴大班舍,糾正件次(列入違規紀錄),2006-05-08,府教社字第0950072608號
22,世界美語短期補習班,2006-03-07,嘉義市民國路219號2至3樓,,糾正件次(列入違規紀錄),,
23,耶魯文理短期補習班,2006-01-25,蘭井街465號11樓之1,擅自遷址,糾正件次(列入違規紀錄),2006-02-10,府教社字第0950070297號
24,私立肯尼文理短期補習班,2006-01-03,嘉義市德安路45號1至2樓,擅自擴大班舍,糾正件次(列入違規紀錄),2006-01-04,府教社字第0950069571號
25,優能外語短期補習班,2005-12-06,垂楊路400號4樓之1、之2,,糾正件次(列入違規紀錄),2006-01-02,府工使字第0950091004號
26,私立協同文理短期補習班,2005-12-06,嘉義市垂楊路400號2樓1、3樓1,,糾正件次(列入違規紀錄),2006-01-02,府工使字第0950091003號
27,威爾英語短期補習班,2003-10-22,吳鳳南路573之2號,,公告撤銷立案,,府教社0920107774號
