序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,伊特文理補習班,2013-04-26,舊莊街1段91巷12弄1號2樓、3號2樓,,糾正件次(列入違規紀錄),2013-04-29,10235938500
2,富成文理補習班,2013-04-24,石牌路1段160號（1層）、160號2樓,,糾正件次(列入違規紀錄),2013-04-29,10231633400
3,登峰外語補習班,2013-04-18,館前路26號9樓,,糾正件次(列入違規紀錄),2013-04-22,10234146600
4,富成文理補習班,2013-04-03,石牌路1段160號（1層）、160號2樓,,糾正件次(列入違規紀錄),2013-04-10,10233881400
5,高國華文理補習班,2009-04-28,和平東路1段87之1號3、4、5樓，87號4樓,"班址 每生使用面積 師資聘用資格",糾正件次(列入違規紀錄),,
6,前進文理珠算短期補習班,2009-04-16,中華路2段421號1樓及421之1號1樓,"市招班名 收費收據 每生使用面積",糾正件次(列入違規紀錄),,
7,皓景文理短期補習班,2009-04-09,八德路3段12巷17弄20號1樓,"收費收據 師資聘用資格",糾正件次(列入違規紀錄),,
8,唯智文理補習班,2009-04-09,北安路573巷15號1樓及北安路595巷20弄6號1樓,"收費收據 師資聘用資格",糾正件次(列入違規紀錄),,
9,摩瑪美術補習班敦化分班,2009-04-09,敦化北路4巷13號1樓,"收費收據 師資聘用資格",糾正件次(列入違規紀錄),,
10,加濠文理補習班,2009-04-09,八德路3段74巷94號1樓,,糾正件次(列入違規紀錄),,
11,文華文理補習班,2009-04-07,天母西路41巷1弄3號1樓,市招班名,糾正件次(列入違規紀錄),,
12,語新語文補習班,2009-04-07,天母西路26號2樓,"市招班名 設立類科 收費收據 立案證書 師資聘用資格",糾正件次(列入違規紀錄),,
13,何迦仁語文電腦補習班,2009-03-26,中山北路6段748號及750號1樓,市招班名,糾正件次(列入違規紀錄),,
14,原育達文理補習班,2009-03-19,信義區松山路132號7樓,"每生使用面積 簡章名冊備查 師資聘用資格",糾正件次(列入違規紀錄),,
15,育勝文理珠算補習班,2009-03-19,松信路141號1樓,"收費收據 師資聘育資格",糾正件次(列入違規紀錄),,
16,佳信英語補習班,2006-06-09,新生南路2段20號2樓,市招擅自以學校名義招生,限期改善件次,,
17,弗利思特語文補習班,2006-06-09,興中路12巷25號2樓,市招擅自以學校名義招生,限期改善件次,,
18,楷特語文補習班,2006-06-09,信義路3段31巷21號1樓,市招擅自以學校名義招生,限期改善件次,,
19,奇豆語文補習班,2006-06-09,四維路41號1樓,市招擅自以學校名義招生,限期改善件次,,
20,美林語文補習班,2006-06-09,明水路600號1樓,市招擅自以學校名義招生,限期改善件次,,
