序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,台灣知識庫股份有限公司附設苗栗縣私立數位學堂文理短期補習班,2021-04-14,苗栗縣苗栗市上苗里為公路8號3F,"1. 班務行政違規。",限期改善件次,2021-04-19,府教社字第1100073715號
2,智基科技開發股份有限公司附設苗栗縣私立志光法商文理短期補習班（苗栗班）,2021-04-14,苗栗縣苗栗市北苗里1鄰為公路29號2F,"1. 班務行政違規。2.查現場1、2樓滅火器、室內栓、火警自動警報設備等皆未有貼附檢修完成標示。",限期改善件次,2021-04-21,府教社字第1100075168號
3,苗栗縣私立佳大文理短期補習班,2021-04-14,苗栗縣竹南鎮山佳里龍山路3段211號,"1. 班務行政違規。2. 未加裝住警器。",限期改善件次,2021-04-19,府教社字第1100073709號
4,苗栗縣私立嘉偉文理短期補習班,2021-04-14,苗栗縣竹南鎮山佳里光復路339號1-2F,"1. 班務行政違規。",限期改善件次,2021-04-19,府教社字第1100073699號
5,苗栗縣私立晨星文理短期補習班,2021-04-14,苗栗縣苗栗市文山里20鄰自治路467-2號2F,"1. 滅火器未附加檢修完成標示。",限期改善件次,2021-04-19,府教社字第1100073695號
6,苗栗縣私立博達文理短期補習班,2021-04-14,苗栗縣苗栗市正發路205號1-2F,"1. 班務行政違規。",限期改善件次,2021-04-19,府教社字第1100073688號
7,苗栗縣私立立冠文理短期補習班,2021-04-07,苗栗縣公館鄉館南村弘南街104號1F,"1. 班務行政違規。",限期改善件次,2021-04-13,府教社字第1100068888號
8,苗栗縣私立仁愛文理短期補習班,2021-04-07,苗栗縣公館鄉館南村2鄰通明街100-1號2樓,"1. 班務行政違規。2. 未申報公共安全簽證。",限期改善件次,2021-04-13,府教社字第1100068886號
9,苗栗縣私立優勝美文理短期補習班,2021-04-07,苗栗縣通霄鎮信義路19號2F,"1. 班務行政違規。",限期改善件次,2021-04-13,府教社字第1100068884號
10,苗栗縣私立學立文理短期補習班,2021-04-07,苗栗縣公館鄉館東村大同路130號1－2F,1.班務行政違規。,限期改善件次,2021-04-13,府教社字第1100068889號
11,苗栗縣私立貓頭鷹文理短期補習班,2021-03-31,苗栗縣苗栗市北苗里29鄰蕉嶺街16號1-2F,"1. 班務行政違規。2. 未申報公共安全簽證。",限期改善件次,2021-04-13,府教社字第1100068878號
12,苗栗縣私立愛力兒文理短期補習班,2021-03-31,苗栗縣後龍鎮大庄里成功路266號1-2F,"1. 立案字號未依規定書寫。2.未申報建築物公共安全檢查簽證。",限期改善件次,2021-04-07,府教社字第1100064542號
13,苗栗縣私立祐群文理短期補習班,2021-03-31,苗栗縣後龍鎮北龍里3鄰田心9號,"1. 班務行政違規。2. 未申報建築物公共安全檢查簽證。",限期改善件次,2021-04-07,府教社字第1100064540號
14,苗栗縣私立拓耕文理短期補習班,2021-03-31,苗栗縣苗栗市自治路231號2樓,1.立案字號未依規定書寫。,限期改善件次,2021-04-07,府教社字第1100064552號
