序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
15,精湛文理短期補習班,2012-11-21,板橋區府中路29-1、29-2號10樓,未依核准擅自於府中路29-1、29-2號9樓增加班舍,限期改善件次,2012-12-06,1013051390
16,柏克萊美語文理短期補習班,2012-11-12,永和區保福路2段138、142、146、155號1樓,招牌懸掛電腦班，與核准科別不符、看板廣告懸掛安親課輔字樣、收費收據未載明立案文號、日期及退費規定、擅自於保福路150巷2弄4號增加班舍、未提供定型化契約,限期改善件次,2012-11-27,1012981387
17,快樂瑪麗安美語補習班,2012-11-07,中和區中安街100號2樓、102號1、2樓、98號1樓、98-1號2樓,未提供定型化契約,限期改善件次,2012-11-19,1012927613
18,私立精英國際文理語文電腦美術珠心算短期補習班,2012-11-05,蘆洲區民族路355號1、2樓,未提供定型化契約,限期改善件次,2012-11-09,1012885021
19,瑀冠文理語文短期補習班,2012-11-01,汐止區福德一路167號1、2樓,課表與核准授課科別不符,限期改善件次,2012-11-30,1013021063
20,私立唐吉君英語會話短期補習班,2012-10-30,三重區洛陽街45巷36號3樓,授課科別與核准授課科別不符,限期改善件次,2012-11-13,1012910642
21,私立林澈文理短期補習班,2012-10-30,蘆洲區永平街33號1、2樓,無法提供公共安全申報資料、擅自增舍(同街36號)，稽查當日該址大門緊閉且外觀仍有廣招，現場人表示已無使用,限期改善件次,2012-11-09,1012884811
22,私立快樂吉米語文短期補習班,2012-10-15,三重區永福街46巷41弄59號2樓,擅自於三重區永福街46巷41弄59號1樓增加班舍,限期改善件次,2012-11-19,1012927404
23,名人語文短期補習班,2012-09-27,汐止區大同路2段240號3樓之3、2樓之2,未懸掛立案證書、從事安親課輔招生、收據未載明立案文號、日期及退費規定、未提供定型化契約。,限期改善件次,2012-10-16,1012716810
24,私立文華語文文理短期補習班,2012-09-19,三重區集美街33巷12號,無提供公共安全申報資料、無提供消防安全申報資料、無提供師生安全保險、看板廣招懸掛「繪畫、珠心算、作文、鋼琴」，與核准授課科別不符、未見市府公文專夾保管、不得從事安親課輔服務、禁用瓦斯器具、未提供定型化契約,限期改善件次,2012-10-29,1012782250
25,私立永宜文理語文短期補習班,2012-08-30,中和區漢民路410號,課程含有安親課輔，收據未載明立案文號、日期、退費規定為舊制，未提供定型化契約,限期改善件次,2012-09-12,1012507695
26,私立小維尼語文短期補習班,2012-08-22,三重區永福街74號3樓,無提供公共安全申報資料，未懸掛立案證書，授課科目不符，廣告懸掛安親字樣，禁止使用瓦斯器具，收據未載明退費規定，未提供定型化契約,限期改善件次,2012-09-18,1012529181
27,私立常春藤美語短期補習班,2012-08-16,汐止區仁愛路77巷2弄17號,無提供公共安全申報資料、課程與看板廣告含有安親課輔、有瓦斯器具、收據未載明立案文號、日期與安親課輔及電腦班字樣、未提供定型化契約,限期改善件次,2012-09-07,1012467064
28,云門薪傳舞蹈補習班,2012-08-09,新店區北新路2段252號地下1樓之4,無提供公共安全、消防安全、班主人身分證明文件、師生安全保險相關證明，未懸掛立案證書，收據未載明立案文號及日期，未提供定型化契約,限期改善件次,2012-08-30,1012422919
29,私立大豐音樂短期補習班,2012-08-09,新店區北新路2段141-1號5、7樓,無提供公共安全、消防安全申報資料、設立人及班主任身分證明文件、師生安全保險證明，未使用專夾保管市府公文，收據未載明立案日期與退費規定為舊制，未提供定型化契約,限期改善件次,2012-08-30,1012424977
30,私立艾普拉斯語文短期補習班,2012-08-06,淡水區民族路50巷38號1層,無提供公共安全申報資料、師生安全保險，補習班禁用瓦斯器具，無提供收費收據,限期改善件次,2012-08-09,1012295789
31,愛彌兒美語補習班,2012-08-01,板橋區永豐街043號2樓、045號1樓,無提供公共安全申報資料、未懸掛立案證書、課表及招牌與核准授課科別不符、收據使用托兒所字樣、擅自增加班舍、未提供定型化契約,限期改善件次,2012-08-29,1012414355
32,私立冠馳語文短期補習班,2012-07-25,新店區二十張路91號、93號、95號1樓、自立街45巷6號2樓之1,招牌與立案班名不符、未懸掛立案證書、教授國小數學，與立案科目不符，看板懸掛安親字樣、簡章名冊未留班備查、未提供定型化契約及收據,限期改善件次,2012-08-30,1012411625
33,私立捷進英語會話短期補習班,2012-07-25,新店區北新路一段333號1、2、3樓,未懸掛立案證書、廣告懸掛安親字樣、收據未載明退費規定,限期改善件次,2012-08-30,1012412416
34,私立全崴語文短期補習班,2012-07-19,板橋區莊敬路48號1樓,無提公共安全、消防安全申報資料、設立人及班主任身分證明文件、師生安全保險相關證明，未懸掛立案證書，課表與核准立案科別不符，不得從事安親課輔招生，收據未載明立案文號及日期，無提供定型化契約。,限期改善件次,2012-08-07,1012272725
35,私立宏碩語文短期補習班,2012-07-05,永和區文化路109號1、2樓,補習班禁止使用瓦斯器具、收據未載明退費規定、擅自增加班設&rdquo;109號3樓&rdquo;、無提供定型化契約,限期改善件次,2012-08-01,1012232178
36,私立元揚珠心算短期補習班,2012-07-02,蘆洲區長安街249巷2號1樓,無法提供公共安全申報資料、未懸掛立案證書、收據未載明退費規定、補習班禁止使用瓦斯器具無法提供公共安全申報資料、未懸掛立案證書、收據未載明退費規定、補習班禁止使用瓦斯器具,限期改善件次,2012-08-01,1012231925
37,文苑語文短期補習班,2012-06-28,中和區復興路260號2樓,現場無法提供公共安全申報資料、現場無法提供消防安全申報資料、未提供定型化契約,限期改善件次,2012-07-17,1012134908
38,楊格語文短期補習班,2012-06-28,汐止區大同路二段240號6樓之1,無法提供公共安全、消防安全申報資料、設立人及班主任身分證明文件，課程內容含安親課輔，招牌與立案科目不符，未見收費收據，未提供定型化契約,限期改善件次,2012-08-01,1012244804
39,海山菁英語文短期補習班,2012-06-28,板橋區漢生東路279巷30號、30-1號2樓,未懸掛立案證書、無法提供設立人及班主任身分證明文件、授課科別不符、不得從事安親課輔招生、收據不符合標準、擅自增加班設&rdquo;279巷30號地下1樓、未提供定型化契約,限期改善件次,2012-08-01,1012241948
40,私立辰修語文短期補習班,2012-06-27,中和區復興路301巷2弄10號1樓,收據未載明退費規定、未提供定型化契約,限期改善件次,2012-07-17,1012127099
41,私立崇幼文理語文短期補習班,2012-06-27,汐止區建成路28巷11號3樓、42號(1、2、3樓),無提供公共安全申報資料、師生安全保險相關證明，未懸掛立案證書，收據為托兒所不符規定，未提供定型化契約，學童交通車未核備，該址一樓疑似擅自變更使用部分。,限期改善件次,2012-07-23,1012165954
42,私立快樂寶貝文理短期補習班,2012-06-27,中和區復興路301巷21-1號,現場無提供公共安全申報資料、收據之規定為舊規、未提供定型化契約,限期改善件次,2012-07-17,1012134600
43,得勝文理語文補習班,2012-06-27,中和區復興路296號1、2樓,收據之退費規定為舊規、未提供定型化契約,限期改善件次,2012-07-17,1012134448
44,私立敦璦文理語文短期補習班,2012-06-25,三芝區長春街2之1號、8、10、12號1樓,無提供定型化契約,限期改善件次,2012-07-02,1012034987
45,明智文理短期補習班,2012-06-22,板橋區中山路1段10號11樓,無提供公共安全申報資料、設立人身分證明文件、師生安全保險相關文件，未提供定型化契約,限期改善件次,2012-07-20,1012148641
46,私立台大文城文理短期補習班,2012-06-22,板橋區中山路1段10號9樓,無法提供設立人及班主任身分證明文件，未使用專夾保管教師名冊，教室空間過於擁擠，未提供定型化契約,限期改善件次,2012-07-20,1012148229
47,建功文理短期補習班,2012-06-22,板橋區中山路1段10號8樓、9樓之1,(聯合稽查)無法提供公共安全報資料、師生安全保險相關證明，未懸掛立案證書，未使用專夾保管師生名冊與市府公文，桌椅數過多,限期改善件次,2012-07-20,1012146787
48,私立新田文理語文短期補習班,2012-06-05,新店區北新路3段82號3樓-2,無提供公共安全、消防安全申報資料、設立人及班主任身分證明文件、師生安全保險文件，未專夾保管市府公文，招牌與核准立案班名不符，收據未載明立案名稱、日期，未提供定型化契約。,限期改善件次,2012-06-29,1012036702
49,私立強棒名師文理短期補習班,2012-05-30,土城區金城路3段99-1號(一、二層)(99-1號、99號2樓、97-1號2樓併戶),未專夾保管教師學生名冊、未依核准授課科別授課、從事安親、課輔招生、未提供定型化契約,限期改善件次,2012-07-04,1012036400
50,私立恩昇文理語文短期補習班,2012-05-30,蘆洲區復興路75號2樓,未依規定擅自增加班舍：復興路75號1樓、77號1樓，經詢問鄰居表示確有學生進出，外觀亦有廣招,限期改善件次,,
51,私立富民機電短期補習班,2012-05-28,三重區成功路137號5樓,擅自增加班舍：成功路137號1樓(經問鄰居表示1樓確有學生進出)，無廣招、大門緊閉、按鈴無人應門,限期改善件次,2012-06-21,1011989501
52,巨登文理珠心算補習班,2012-05-15,永和區永元路77號1、2、3樓、75號5樓、73號2樓、50號3樓,擅自於永元路85號1樓及地下1樓、83巷8號、10號、75號2樓、66號3樓、64號4樓增加班舍,限期改善件次,2012-06-18,1011961921
53,聯華文理短期補習班,2012-05-11,鶯歌區永和街16之6號,未專夾保管教師學生名冊、收據不符規定、未提供定型化契約,限期改善件次,2012-06-01,1011844379
54,私立暘德語文短期補習班,2012-05-11,鶯歌區尖山埔路163號1-3樓，183號1、2樓,現場無法提供公共安全、消防安全申報資料、設立人及班主任身分證明與師生安全保險文件，未懸掛立案證書，未提供定型化契約。,限期改善件次,2012-05-24,1011815510
55,私立南加大美語文理短期補習班短期補習班,2012-05-03,板橋區長安街138巷1弄3號,未懸掛立案證書、無師生安全保險相關文件、未專夾保管教師學生名冊、未見收費收據、無提供定型化契約,限期改善件次,2012-06-01,1011835953
56,私立皇英學苑美語文理短期補習班,2012-05-03,三重區仁愛街32號2樓,收據未載明退費規定、無提供定型化契約,限期改善件次,2012-05-29,1011827093
57,私立文鼎語文短期補習班,2012-04-30,板橋區文化路2段86、88、90、92、96、98、100號4樓,未提供定型化契約、防火門及警報設備不符規定,限期改善件次,2012-06-01,1011832125
58,立維文理語文短期補習班,2012-04-26,新店區中華路26號1-3樓,現場無法提供設立人及班主任身分證明文件、未依核准科目授課、以升學考試為目的不得招收國小學生、現場未提供定型化契約。,限期改善件次,2012-05-22,1011781641
59,私立美季美語短期補習班,2012-04-10,中和區民德路322號、326號,擅自增設班舍民德路328號、無提供定型化契約,限期改善件次,2012-04-17,1011566347
60,私立語如語文珠心算短期補習班,2012-04-10,土城區學府路1段154號2樓,未懸掛立案證書、教材與核准授課別不符、收費收據抬頭為安親班、現場未有定型化契約,限期改善件次,2012-04-26,1011602979
61,私立翰達文理短期補習班,2012-03-29,汐止區仁愛路36號2樓,未掛立案證書、(招牌有國小美語及作文、課表有國中英文及數學、安親課輔)違規不符、有瓦斯、收據不符、無定型化契約資料,限期改善件次,2012-04-16,1011568647
62,私立佑勉文理音樂短期補習班,2012-03-29,板橋區金門街277號，篤行路二段131巷58弄29號2樓,無(公安、師生安保、定型化契約)資料、市府公文無專夾保管、收據不符,限期改善件次,2012-04-12,1011540951
63,私立橙果語文短期補習班,2012-03-29,新店區永華街55號1樓,未掛立案證書、教職學員名冊無專夾保管、教材(國語、數學)不符、未見收據、未提定型化契約、擅自增設班舍永華街55號地下1樓,限期改善件次,2012-04-12,1011543314
64,私立王老師文理短期補習班,2012-03-29,板橋區國光路2號3樓,教職學員名冊無專夾保管、(教材(含國文、社會)、名片載國小數學課輔班、招牌懸掛王蘋英語班)不符,限期改善件次,2012-04-11,1011527133
65,私立及品文理語文短期補習班,2012-03-27,金山區仁愛路37-3號1樓、地下1樓,廣告文宣含(才藝、數學、安親課輔)不符、有瓦斯、收據不符、無定型化契約資料,限期改善件次,2012-04-24,1011614717
66,私立詠嘉文理短期補習班,2012-03-22,樹林區復興路114號、114之1號(1、2樓),無公安資料、市府公文無專夾保管、授課科目(國文、美語)不符、招牌(國小數學)違規不符、有瓦斯、未見收據,限期改善件次,2012-04-06,1011488139
67,文盛文理語文珠心算短期補習班,2012-03-22,鶯歌區鳳鳴街172號(1、2樓)、174號(1、2樓)、180號(1、2樓),收據不符、教材含「國小自然、安親班」、招牌不符、未提供定型化契約、體罰學生,限期改善件次,2012-04-09,1011507711
68,私立兆宇文理語文短期補習班,2012-03-22,鶯歌區建國路210巷4號1、2樓,授課科目(文理(國)、語文(英))不符、收據不符、未提定型化契約,限期改善件次,2012-04-06,1011509120
69,私立快樂吉米語文短期補習班,2012-03-21,三重區永福街46巷41弄59號2樓,無(公安、消安)資料、廣招不符、擅自增設班舍、不當體罰,限期改善件次,2012-03-30,1011483438
70,佑昇文理語文短期補習班,2012-03-20,新莊區成功街20號1樓,未掛立案證書、無(公安、設立人、班主任、師生員工安保、)資料、(教職學員名冊、市府公文)無專夾保管、廣告文宣(安親課輔)不符、招牌(優果魔力學園)違規不符、收據不符,限期改善件次,2012-04-09,1011518844
71,正嘉生文理語文,2012-03-08,板橋區溪北路168號1樓,無(本年度公安、設立人及班主任證件、師生名冊專夾、市府專夾、定型化契約)資料、未掛立案證書、(廣招、收據)不符、擅自增設班舍,限期改善件次,2012-03-22,1011431987
72,私立上陽珠心算短期補習班,2012-03-08,土城區明德路2段102巷12號、12號2樓,無(師生名冊、市府專夾、定型化契約)資料、(招牌、收據)不符、疑擅自增科,限期改善件次,2012-03-22,1011432291
73,私立欣名揚文理語文短期補習班,2012-03-06,新莊區四維路19號4樓,未懸掛立案證書、收費收據不符,限期改善件次,2012-03-12,1011374210
74,私立必勝美語珠心算短期補習班,2012-03-06,新莊區瓊泰路167號1、2樓,無提供公安、消安、廣招不符、招牌懸掛不符、教材不符、收據不符、擅自增設班址,限期改善件次,2012-03-15,1011372701
75,私立友誠文理短期補習班,2012-03-02,新莊區富國路115號4樓,無(設立人、班主任、師生保險資料、師生名冊、市府公文專夾、定型化契約)資料、收費收據不符、擅自增設班舍,限期改善件次,2012-03-08,1011299926
76,私立小牛津文理短期補習班,2012-02-23,板橋區四川路2段245巷52號2樓,無公安申報、無設立人及班主任身分證明、教師名冊及市府公文未專夾保管、增科(數理、國小三合一課輔班、林鴻數理資優、張揚全民英檢班)、收據不符、缺定型化契約,限期改善件次,2012-03-03,1011301354
77,私立珍妮佛文理短期補習班,2012-02-23,板橋區僑中二街104巷25、27號1樓,無公安消防申報、未掛證書、師生名冊及市府公文未專夾保管、擅自增科(社會)、招收國小生(英、數)、擅自增址(25、27號B1)、有瓦斯爐、收據不符、缺定型化契約,限期改善件次,2012-03-03,1011303269
78,東吳語文短期補習班,2012-02-08,土城區中央路2段179號2樓,無公安申報、師生保險、師生名冊專夾保管、收據不符、缺定型化契約,限期改善件次,2012-02-22,1011257980
79,私立李老師語文短期補習班,2012-02-07,板橋區中山路2段533號2樓,無提供消安、公安、師生保險、未懸掛立案證書、未使用專夾、廣招不符、收據不符、定型化契約不符、有瓦斯器具,限期改善件次,2012-03-03,1011299955
80,私立山拇叔叔語文短期補習班,2012-02-07,三峽區學勤路125號地下一樓,未掛證書、有瓦斯爐、收據不符且未與托兒所分別開立、缺定型化契約,限期改善件次,2012-02-24,1011241889
81,私立豐藝文理短期補習班,2012-01-18,新店區安和路3段153號2樓,招收國小學童、擅自增科(兒童美語、珠心算)、安親、收據不符,限期改善件次,2012-02-20,1011232627
82,私立一生文理短期補習班,2012-01-17,新莊區中平路304號2樓,無公安申報、未掛證書、無設立人及班主任身分證明、無師生保險、教職員與學生名冊未專夾保管，擅自增科(數、國、社)、市府公文未專夾保管、廣招不符、收據不符、缺定型化契約,限期改善件次,2012-02-16,1011225188
83,勤學美術短期補習班,2012-01-09,五股區水碓路16巷2號1樓,未提供班主任身分證明、教職員名冊及公文未專夾保管,限期改善件次,2012-02-15,1011216554
84,私立林澈文理短期補習班,2012-01-06,蘆洲區永平街33號、33號2樓,無公安申報、擅自增址(蘆洲區永平街36號)、缺定型化契約,限期改善件次,2012-01-20,1011103700
85,私立簡愛語文短期補習班,2012-01-05,板橋區中山路1段26之2號(3樓),無公安消防申報、收據不符、缺定型化契約,限期改善件次,2012-02-15,1011213214
86,華文文理補習班,2011-12-29,板橋區莒光路158之2號1樓及夾層,未提供設立人身分證、未使用專夾、廣招(國小英數、課輔)不符、收據不符、定型化契約未核備、擅自增設班舍,限期改善件次,2012-02-10,1011187581
87,私立昕航美語電腦文理短期補習班,2011-12-20,新店區安德街48號、48號2樓、46巷8號、46巷16號,擅自增設班舍、安親班、廣招文宣不符、定型化契約、收據不符,限期改善件次,,
88,私立尚宏文理語文電腦短期補習班,2011-12-13,樹林區文化街35號,無公安申報、未掛證書、無師生名冊及市府公文專夾、擅自增科(國小數學、安親課輔)、未提供收據及定型化契約、教師疑似體罰,限期改善件次,2012-01-05,1001939380
89,私立粘晶晶音樂短期補習班,2011-11-29,板橋區重慶路155巷19號1樓,市府公文未專夾保管、廣招不符(黏老師音樂教室)、收據不符、缺定型化契約,限期改善件次,2011-12-13,1001788675
90,立維文理語文短期補習班,2011-11-28,新店區中華路26號1-3樓,無公安消防申報、師生保險缺址(僅見新店區中華路26號1、2樓)、擅自增科(理化、生物、作文、文理-英)、收據不符、缺定型化契約,限期改善件次,2011-12-01,1001737880
91,學府語文美術短期補習班,2011-11-23,土城區學府路1段120巷8號、學府路1段98巷19號,未提公安、設立人、班主任證件、未掛證書、未使用專夾、廣招不符、收據不符、未提供定型化契約,限期改善件次,2011-12-02,1001736143
92,新時代英語補習班,2011-11-22,新莊區新泰路227號3樓,未掛證書、收據不符、缺定型化契約,限期改善件次,2011-12-01,1001729808
93,私立TOP尖端文理美術短期補習班,2011-11-22,三峽區文化路82巷2號2樓、82巷6號1樓,無公安申報、師生保險、未掛證書、師生名冊及公文未專夾保管、增科(國小課輔班)、有瓦斯器具、擅自增設(三峽區文化路82巷2號1樓)、缺定型化契約,限期改善件次,2011-12-07,1001760442
94,私立加恩文理語文短期補習班,2011-11-21,五股區成泰路2段96號,無公安、消防申報、未掛證書、擅自增科(珠心算、作文、圍棋、美術、安親)、無公文專夾、有瓦斯爐、收據不符、擅自增址(五股區程泰路2段100號2樓)、缺定型化契約,限期改善件次,2011-11-25,1001703908
95,輔迪珠心算補習班,2011-11-16,新莊區豐年街豐二巷29-1號2樓及19號1樓,擅自增科(語文、安親課輔、生物、理化、作文)、收據不符、缺定型化契約,限期改善件次,2011-11-23,1001692593
96,私立傑登文理短期補習班,2011-11-11,新莊區瓊泰路125號1、2樓,無100年公安消防申報、安親、無公文專夾、有瓦斯爐、收據不符、缺定型化契約,限期改善件次,2011-11-23,1001693565
97,私立倩倩語文短期補習班,2011-11-11,新莊區瓊泰路137、139號1樓,無100年公安消防申報、未掛證書、無師生保險、擅自增科(珠心算)、有瓦斯爐、收據不符、缺定型化契約,限期改善件次,2011-11-23,1001693984
98,私立互動式文理短期補習班,2011-11-10,板橋區成都路45號1樓,未提供消安、公安、設立人證件、師生保險、定型化契約、未使用教職名冊專夾、收據仍依舊規、廣招不符,限期改善件次,2011-11-21,1001676373
99,私立冠翔文理短期補習班,2011-11-09,新莊區中信街94巷2號1樓,無公安申報、未掛證書、招收國小學生、未提供收據、缺定性化契約,限期改善件次,2011-11-25,1001697166
100,私立碩譽語文文理短期補習班,2011-11-09,三重區三陽街117號3樓,擅自增設班舍(115號1、2、3樓、117號2樓、119號2樓),限期改善件次,2011-11-18,1001665330
101,私立優達語文短期補習班,2011-11-08,林口區文化三路2段41巷50號1樓,無100年公安申報、無100年師生保險、收據不符、缺定型化契約、安親課輔,限期改善件次,2011-11-16,1001657220
102,國豐心算短期補習班,2011-11-08,新店區北新路3段053號3樓,,停止招生一個月,2012-01-11,1011046431
103,私立小豆豆珠算短期補習班,2011-11-08,新莊區中平路179巷2號,無公安消防申報、未掛證書、無師生保險、無師生名冊、違規托育、無公文專夾、無廣告招牌、有瓦斯爐、無收據、缺定型化契約,限期改善件次,2011-11-22,1001675640
104,私立許雋文理短期補習班,2011-11-04,三重區三和路4段135巷6號1樓,未提供公安申報、招牌懸掛班名不符、收據依舊法、擅自增設班舍,限期改善件次,2011-11-18,1001665783
105,私立勝德文理短期補習班,2011-11-03,板橋區南雅西路二段247號2樓,未提供消安、公安、班主任證件、師生保險、定型化契約、未使用教職名冊專夾、收據不符、廣招不符、懸掛廣招班名不符、擅自增設班舍、學童交通車未經核備,限期改善件次,2011-11-21,1001675269
106,私立光明珠心算短期補習班,2011-11-03,板橋區光明街100號及地下1樓,無設立人、班主任身分證明、無員工師生保險、無師生名冊專夾、擅自增科(安親課輔、鋼琴、美語、資優數學)、收據不符、缺定型化契約,限期改善件次,2011-11-15,1001529015
107,私立惠文文理語文短期補習班,2011-11-02,新莊區西盛街170號(併170號2樓),未掛證書、無100年師生保險、增設課輔班、招牌不符、收據不符、缺定型化契約,限期改善件次,2011-11-18,1001658833
108,私立程皓文理短期補習班,2011-11-02,新莊區中正路700之12號2樓,無公安消防申報資料、未掛證書、無設立人班主任身分證明、師生保險過期、擅自增科(語文、社會、自然)、收據不符、缺定性化契約,限期改善件次,2011-11-21,1001675414
109,私立勝華文理短期補習班,2011-10-31,蘆洲區長樂路138號1樓,課表有安親、現場有國小學童,限期改善件次,2011-10-31,1001589218
110,私立聖讀文理短期補習班,2011-10-31,"八里區忠七街20 號1，2樓",現場有國小學童、收據仍適用舊法,限期改善件次,2011-11-09,1001589668
111,私立至和文理短期補習班,2011-10-27,新店區中華路71號1、2樓,無100年公安申報、無公文保管夾、廣招不符(致和專業全科班)、收據不符、缺定型化契約,限期改善件次,2011-11-08,1001582397
112,私立牛津橋美語短期補習班,2011-10-27,新店區中興路1段168號1樓,未掛證書、無公文保管夾、收據不符、缺定型化契約、安親,限期改善件次,2011-11-08,1001582047
113,私立佳美文理短期補習班,2011-10-26,蘆洲區中正路156-2號1、2樓,教授國小語文、收據退費仍為舊法、增設班舍,限期改善件次,2011-11-09,1001588865
114,私立禾浚珠心算短期補習班,2011-10-21,樹林區國凱街108號2樓,未提供公安及定型化契約、師生名冊未使用專夾、廣招及收據不符、有瓦斯、擅自增班舍,限期改善件次,2011-11-14,1001612431
115,國豐心算短期補習班,2011-10-21,新店區北新路3段053號3樓,違規經營幼兒園、安親課輔,限期改善件次,2011-11-10,1001609234
116,獅王美語電腦補習班,2011-10-21,樹林區國凱街150、152號,未提公安、定型化契約、未掛證書、廣招及收據不符、未使用專夾,限期改善件次,2011-11-14,1001612417
117,私立格林文化股份有限公司七張分公司附設親親寶貝文理短期補習班,2011-10-21,新店區北新路2段128號4樓,無消防申報、師生保險單位為「安親班」,限期改善件次,2011-11-18,1001675002
118,私立冠成文理短期補習班,2011-10-21,三峽區文化路158號2樓、和平街57號2樓,未提供消安、公安申報、設立人及班主任證件、師生保險文件、收據、定型化契約、教職學生未使用專夾、廣招不符、擅自增設班址,限期改善件次,2011-11-16,1001640880
119,私立利安語文短期補習班,2011-10-20,永和區得和路162號及162號(地下1樓)、162號2樓、2樓之1、2樓之3(由162號2樓、2樓之1、2樓之2、2樓之3併戶),收據不符、缺定型化契約、有瓦斯爐、無公安申報,限期改善件次,2011-12-01,1001734301
120,幼發拉底美語短期補習班,2011-10-20,永和區中山路1段331號3、4、5樓,擅自增科(珠心算、安親)、收據不符、缺定型化契約、未掛證書、無師生保險,限期改善件次,2011-12-01,1001737880
121,私立維宜美語會話短期補習班,2011-10-19,五股區中興路4段48巷17號1樓、19號1樓,收據不符、交通車未核備、缺定型化契約,限期改善件次,2011-11-04,1001566569
122,凱怡語文短期補習班,2011-10-19,五股區成泰路2段170號2樓,未掛證書、擅自增科(珠心算)、廣招不符(魔法凱怡)、有瓦斯爐、收據不符、缺定型化契約、安親,限期改善件次,2011-11-04,1001566100
123,日群文理語文短期補習班,2011-10-18,土城區金城路2段354巷2號1樓、4號1樓,未提供公安申報、班主任證件、師生安全保險、教師名冊、收據、定型化契約、市府公文專用夾、廣招不符、擅自增設教室,限期改善件次,2011-11-08,1001562851
124,建蕎文理短期補習班,2011-10-18,五股區中興路4段48巷2號、2號之1、之2、之3(1、2、3、4樓),未掛證書、擅自增科(國小課輔才藝班、美語、珠心算、數學)、有瓦斯爐、收據不符、擅自增設班址(五股區中興路4段48巷4號2樓),限期改善件次,2011-10-27,1001508224
125,私立清華瀚翔文理語文短期補習班,2011-10-11,土城區忠義路28號1、2樓、30號1、2樓、32號1、2樓,無師生名冊、收據不符,限期改善件次,2011-10-27,1001472580
126,私立漢生文理語文短期補習班,2011-10-07,板橋區文化路2段417巷30號1、2樓,師生名冊無使用專夾、未提供定型化契約、廣招安親課輔,限期改善件次,2011-11-02,1001558870
