序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立愛麗兒文理語文短期補習班,2013-04-15,汐止區中興路150巷20號2樓,現場無提供公共安全申報資料、未懸掛立案證書、無提供設立人及班主任身分證明文件與師生安全保險相關文件、招牌與立案核准科目不符、收費收據未載明退費規定、擅自增設班舍、未經核准使用交通車、未提供定型化契約,限期改善件次,2013-04-18,1021667778
2,私立艾力獅文理語文短期補習班,2013-03-19,汐止區仁愛路122巷18號1樓,招牌含安親字班字樣，收費未載明補習班名稱與退費規定，未提供定型化契約,限期改善件次,2013-03-27,1021508020
3,私立浩瀚文理語文短期補習班,2013-02-25,三重區忠孝路3段35號1、2、3樓,現場未提供定型化契約,限期改善件次,2013-03-12,1021409537
4,羅馬文理補習班,2013-02-20,新店區安康路2段147號2樓,廣告懸掛安親課輔並招收安親班、教授國小數學，與核准科目不符、現場有瓦斯器具、收費收據未使用最新退費規定、現場未提供定型化契約,限期改善件次,2013-03-15,1021405946
5,喬治亞語文短期補習班,2013-01-24,板橋區莒光路165巷36號、36-1號2樓、38-1號2樓,無法提供公共安全申報資料、收費收據未載明最新退費規定、未提供定型化契約,限期改善件次,2013-02-01,1021207417
6,私立小天才珠心算短期補習班,2013-01-17,板橋區三民路2段正隆巷12弄15號1樓,招牌與核准之授課科別不符，廣告含有安親班、課後輔導班字樣,限期改善件次,2013-01-25,1021156862
7,私立明安文理語文短期補習班,2013-01-10,板橋區和平路82號(1樓及夾層)、86號(1樓及夾層),無法提供消防安全申報資料、未提供定型化契約,限期改善件次,2013-01-14,1021076060
8,私立南加大美語文理短期補習班短期補習班,2012-12-27,板橋區長安街138巷1弄3號,無法提供師生安全保險相關證明，雖事後以傳真至本府，仍請將相關證明至於班內、廣告傳單教售科目與核准科目不符、3樓有瓦斯器具,限期改善件次,2013-01-11,1021057226
9,幼發拉底美語短期補習班,2012-12-26,永和區中山路1段331號3、4、5樓,收據未載明退費規定，出口標示燈故障，布簾未附防焰標示,限期改善件次,2013-01-04,1021017379
10,私立利安語文短期補習班,2012-12-26,永和區得和路162號及162號(地下1樓)、162號2樓、2樓之1、2樓之3(由162號2樓、2樓之1、2樓之2、2樓之3併戶),未提供定型化契約，經查證已報府備查，另1樓破壞分戶牆及2樓緊急進口冷氣機阻塞,限期改善件次,2013-01-07,1021017426
11,私立捷進英語會話短期補習班,2012-12-13,新店區北新路一段333號1、2、3樓,無法提供公共安全、消防安全申報資料，未懸掛立案證書，無法提供設立人及班主任身分證明文件，未使用專夾保管教師學生名冊，未使用專夾保管市府公文及外籍老師資料，未依核准立案科目授課，招牌與核准立案班名不符，無法提供收費收據，交通車未經本府核准使用，未提供定型化契約,限期改善件次,2012-12-14,1013124380
12,聖讀文理語文短期補習班,2012-12-10,"八里區忠七街20 號1，2樓",未使用專夾保管教師及學生名冊，未提供定型化契約，補習班學生許名賢於1011201受到黃昭蓉老師體罰，致左手掌無名指第一節瘀血，班主任表示許生受到黃老師之處罰,限期改善件次,2012-12-11,1013096427
13,私立耀德語文短期補習班,2012-11-28,中和區漢民路405號(1層)、405之1號(2層)、405之2號(3層),未提供定型化契約,限期改善件次,2012-12-28,10132033820
14,巧迪美術文理珠心算語文短期補習班,2012-11-28,中和區圓通路27號、27號2樓、20號、22號1樓、39號1，2樓,未提供定型化契約,限期改善件次,2012-12-28,1013203291
