序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立全國珠心算短期補習班,2017-01-17,屏東縣潮州鎮光華里育德街81號,招牌未按立案核准類科書寫,限期改善件次,2017-01-25,屏府教終字第10602897000號
2,私立精實珠心算文理短期補習班,2013-07-31,內埔鄉仁華路1號,,限期改善件次,,
3,私立卓越美語短期補習班,2013-07-30,屏東市建國路41之6號（1-2樓）,,限期改善件次,,
4,私立華威文理短期補習班,2013-07-16,屏東縣九如鄉九清村信義街8號,,限期改善件次,2013-07-27,10222097800
5,私立維新文理短期補習班,2013-07-16,屏東縣九如鄉維新街152之10號,,限期改善件次,2013-07-27,10222097600
6,私立喬丹文理短期補習班,2013-07-16,九如鄉維新街8號1-2樓,,限期改善件次,2013-07-27,10222097700
7,私立鑫怡光美語文理短期補習班,2013-07-09,屏東市溝美里自由路361-1號,,限期改善件次,2013-08-02,10223032500
8,私立冠林文理短期補習班,2013-06-11,屏東市崇智里重慶路1號4樓,,限期改善件次,2013-07-03,10218889500
9,私立婕登美容美髮短期補習班,2013-05-21,屏東市公園東路19號,,限期改善件次,2013-06-05,10216636500
10,私立立功升學文理短期補習班,2013-05-07,屏東市民族路217號(2、3F),,限期改善件次,2013-05-16,10214264500
11,私立楊老師文理短期補習班,2013-04-02,九如鄉東寧村東富街16巷8號,,限期改善件次,2013-04-25,10210137300
12,私立泓佑文理美語電腦短期補習班,2013-03-04,東港鎮屏東縣東港鎮通明街32-9號,,限期改善件次,2013-04-07,10210138700
13,私立道和文理短期補習班,2013-03-04,東港鎮興東里明德路51巷24號,,限期改善件次,2013-04-17,10210138600
14,三朋美語文理,2012-12-22,屏東縣東港鎮朝陽街64-47號1-2樓,,限期改善件次,2013-04-17,10210138800
15,私立加語英語教育中心美語短期補習班,2012-12-19,麟洛鄉仁愛街61-1號,,限期改善件次,2013-04-11,10210769500
16,私立海格芮數位學院文理短期補習班,2012-12-19,麟洛鄉麟趾村中興街67號,,限期改善件次,2013-04-17,10210139100
17,私立加資美語短期補習班,2005-03-23,屏東縣新園鄉鹽埔村聖心路一六八號,擴大違規使用、未依核准立案書寫全名、擅自增設類科、基金存款補影印本,限期改善件次,,
18,私立和泰心算美術短期補習班,2005-03-09,屏東縣高樹鄉長榮村興中路245號1-2樓,擅自增設類科(安親、英文),糾正件次(列入違規紀錄),2005-03-15,屏府教社字第0940047945號
1,屏東縣私立吉尼斯美語短期補習班,2025-06-25,屏東市蘇州街90號,學員於地板上睡覺，現場發現有寢具,限期改善件次,2025-07-08,1140173387
1,屏東縣私立立德文理短期補習班,2025-07-15,屏東市華一街2號,未經核准停辦,限期改善件次,2025-07-21,1140195920
1,屏東縣私立小木屋英文短期補習班,2025-07-25,屏東市豐源里公園東路27號1-2樓,未發現營業事證,限期改善件次,2025-08-04,1140207173
2,屏東縣私立喬治文理短期補習班,2025-07-25,屏東市復興南路一段376巷1號1-2樓,未發現營業事證,限期改善件次,2025-08-04,1140207228
