序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立學林文理短期補習班,2019-10-04,鳳山區鳳北路83號2-4樓,不當管教學生,糾正件次(列入違規紀錄),2019-11-25,高市教社字第10838136800號
2,私立得勝文理短期補習班,2019-09-11,鳳山區忠誠路176號1-3樓,不當管教學生,糾正件次(列入違規紀錄),2019-09-30,高市教社字第10836846800號
3,高點數位科技股份有限公司附設高雄市私立高點文理短期補習班,2019-04-25,新興區中山一路308號8-9樓,確有漏開收據、未與學員簽訂符合定型化契約範本規範之契約及課程修業期限逾1年6個月之情事，核與規定不符,糾正件次(列入違規紀錄),2019-08-27,高市教社字第10835879700號
4,私立華爾頓美語短期補習班,2019-04-19,左營區曾子路188號B棟,擅自將班舍與同址幼兒園混用暨增設教室,糾正件次(列入違規紀錄),2019-06-17,高市教社字第10834143100號
5,私立成大文理補習班文德分班,2019-04-15,鳳山區文衡路346號1-4樓,增設教室,停止招生一個月,2019-05-13,"高市教社字第 10833177400 號"
6,私立成就非凡文理短期補習班,2019-03-20,鼓山區明誠三路705號4樓,增教室、教室供幼兒園園生午休,停止招生,2019-05-10,高市教社字第10833067900號
7,私立瑜瑛文理短期補習班,2019-03-13,鳳山區新富路210號1-2樓,不當管教學生,糾正件次(列入違規紀錄),2019-04-08,高市教社字第10832325600號
8,私立成就非凡文理短期補習班,2019-02-11,鼓山區明誠三路705號4樓,增教室、教室供幼兒園園生午休、招牌有安親才藝字樣、補習班兼做兒照,停止招生一個月,2019-03-28,高市教社字第10832051300號
9,私立敦煌英語短期補習班七賢分班,2018-12-27,新興區七賢一路392號1-2樓,涉安親課輔,停止招生一個月,2019-03-26,高市教社字第10832060300號
10,私立成大文理短期補習班文德分班,2018-10-22,鳳山區文衡路346號1-4樓,違規使用未登記車輛接送學童,罰鍰6000元,2018-11-14,高市教社字第10737747300號
11,私立高名文理短期補習班龍美分班,2018-08-29,鼓山區美術東三路72號1樓、78號1樓,增設教室,停止招生一個月,2018-09-25,高市教社字第10736380800號
12,私立尚豪市文理短期補習班,2018-06-07,前鎮區和平二路254-1號(戶號：貳樓),以未經本局核准或備查之車輛（車號：RCC-8305）載運學生，核與規定不符,罰鍰6000元,2018-07-05,高市教社字第10734406000號
13,私立捷勝文理短期補習班站前分班,2018-05-02,三民區中山一路311號2樓及3樓,派員進入校園發放招生傳單,糾正件次(列入違規紀錄),2018-05-25,"高市教社字第 10733375500號"
14,私立威利文理短期補習班,2018-04-26,三民區正興路195號1-3樓,班牌未依核准班名懸掛,糾正件次(列入違規紀錄),2018-05-25,高市教社字第10733296800號
15,私立成大文理短期補習班光復分班,2018-04-25,鳳山區光復路一段96號2樓,以安親課輔名義招生,限期改善件次,,"高市教社字第  號"
16,私立均嘉文理短期補習班,2018-04-09,三民區義德路115號1-4樓,未依格准班名懸掛招生文宣有廣告不實之情事,糾正件次(列入違規紀錄),2018-05-25,高市教社字第1073329700號
17,何嘉仁文教事業股份有限公司高雄分公司附設九如外語短期補習班,2018-03-29,三民區覺民路336號1-2樓,擅自向何嘉仁幼兒園借用2間教室上課。,糾正件次(列入違規紀錄),2018-05-25,高市教社字第10733366200號
18,私立亞太優生文理技藝短期補習班,2018-01-18,楠梓區楠梓路321號1-4樓、353號1-2樓,該班擅自於楠梓路321號3-5樓增設教室各1間；楠梓路269巷6弄30號2-4樓增設教室計5間，與規定不符,糾正件次(列入違規紀錄),2018-02-13,"高市教社字第10730910200 號"
19,私立高名文理短期補習班大昌分班,2017-12-21,三民區莊敬路76號1-3樓,違規體罰學生暨未依規定完成通報程序,停止招生一個月,2018-02-21,高市教社字第10731031500號
20,私立幸福文理短期補習班,2017-11-08,鳥松區仁美路5號2樓,使用未登記的車輛接送學童,糾正件次(列入違規紀錄),2017-12-14,高市教社字第10638273200號
21,私立華美文理短期補習班,2017-10-25,鳥松區中山路187-1號2、3樓，158-3號1樓、夾層、2樓,使用未登記車輛接送學童及擅自增設教室,糾正件次(列入違規紀錄),2017-12-14,高市教社字第10638272100號
22,私立勤麗園文理短期補習班,2017-10-23,前鎮區鎮洋路22、26號1-2樓,體罰學生暨未依規定完成通報程序,停止招生一個月,2017-12-11,"高市教社字第 10638143800號"
23,私立仕強文理短期補習班,2017-10-16,鳳山區自由路224號5樓之2、5樓之3、7樓之1,派員至學校內發放招生傳單,糾正件次(列入違規紀錄),2017-12-14,高市教社字第10638273700號
24,私立鳴志升學文理短期補習班,2017-09-29,新興區七賢二路74號1-3樓之1.2、4樓之1-4,課程與規定不符,糾正件次(列入違規紀錄),2017-12-14,高市教社字第10638272900號
25,私立竹蜻蜓文理短期補習班,2017-09-20,鼓山區裕誠路2048號1-5樓,體罰學生暨未依規定完成通報程序,停止招生一個月,2017-11-01,高市教社字第10637208500號
26,私立宏儒升學文理短期補習班,2017-06-25,新興區八德一路385號1-3樓,違規聘用學歷未達專科畢業之數學輔導老師、擅自於同班址4樓增,糾正件次(列入違規紀錄),2017-07-26,"高市教社字第 10634854400號"
27,私立魔法語言文理短期補習班,2017-06-20,前鎮區廣東三街402-1號1-5樓,體罰學生暨未依規定完成通報程序,糾正件次(列入違規紀錄),2017-07-17,高市教社字第10634576700號
28,私立頂尖文理短期補習班,2017-06-14,鳳山區瑞興路289號1樓、夾層、2樓,該班老師體罰學生與規定不符,糾正件次(列入違規紀錄),2017-09-04,高市教社字第10635626400號
29,何嘉仁文教事業股份有限公司高雄分公司附設德昌外語短期補習班,2017-06-12,楠梓區德民路922號1-4樓,使用未申請交通車接送學生,糾正件次(列入違規紀錄),2017-07-18,高市教社字第10634675700號
30,私立宏遠文理短期補習班,2017-05-18,鼓山區富農路306號1-2樓,對性騷擾事件處理不善，後續未依規定完成通報程序,糾正件次(列入違規紀錄),2017-07-18,高市教社字第10634673700號
