序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立昱明文理短期補習班,2021-05-12,雲林縣斗六市榴中里7鄰南仁路25號,公共意外責任險保單未懸掛於明顯處；未提供服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(自主檢查表)；招牌上有安親字樣,限期改善件次,,
2,台灣知識庫股份有限公司斗六分公司附設洋碩甄戰數位學堂文理短期補習班,2021-05-12,雲林縣斗六市鎮北路34號1-4樓,未提供服務契約書、性騷擾防治資料(防治要點、禁騷聲名、年度自檢表),限期改善件次,,
3,私立奪標文理短期補習班,2021-05-05,雲林縣斗南鎮民權路82號1-3樓,立案證書、公共意外責任險保單未懸掛於明顯處；教職員工異動未核備；未經核准使用2樓後面班舍；未提供服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(年度自檢表)、未提出消防防護計畫書、防火管理自行檢查表,限期改善件次,2021-05-17,府教社二字第1102423552號
4,私立法蘭克美語短期補習班,2021-05-05,斗南鎮建國一路306巷1之1號,公共意外責任險保單未懸掛於明顯處；教職員工異動未核備；未提供個人資料檔案安全維護計畫、性騷擾防治資料(防治要點、禁騷聲名、年度自檢表),限期改善件次,,
5,私立家禾文理短期補習班,2021-04-14,雲林縣林內鄉光明路241號,未提供服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(年度自檢表),限期改善件次,,
6,格蘭事業股份有限公司附設雲林縣私立格蘭林森文理短期補習班,2021-03-17,虎尾鎮林森路2段369、371號4樓,教職員工異動未核備；未提供服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(防治要點、禁騷聲名、年度自檢表),限期改善件次,2021-04-21,府教社二字第1102420297號
7,威爾森文教事業股份有限公司附設雲林縣私立高登文理短期補習班,2021-03-03,雲林縣斗六市上海路215號1-4樓,公共意外責任險保單未懸掛於明顯處；未提供服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(處理要點、聲明啟事、自主檢查表),限期改善件次,,
8,私立貝登堡美語短期補習班,2021-03-03,斗六市公誠里南京路399號,未提供立案證書、服務契約書、收費收據退費規定、個人資料檔案安全維護計畫、性騷擾防治資料(處理要點、聲明啟事、自主檢查表)；教職員工異動未核備；未經核准使用3.4.5樓班舍,限期改善件次,2021-03-15,府教社二字第1102413213號
9,私立文聖文理短期補習班,2021-03-03,斗六市長春路1號1-4樓,公共意外責任險保單未懸掛於明顯處；未提供服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(處理要點、聲明啟事、自主檢查表)；教職員工異動未核備；未經核准使用1.2樓後面班舍；1樓缺出口標示燈兩具,限期改善件次,2021-03-11,府教社二字第1102413765號
10,私立幼青園文理短期補習班,2021-03-03,斗六市明德北路二段107號,未提供收費收據退費規定、服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(自主檢查表),限期改善件次,,
11,私立貝思特文理短期補習班下崙分班,2020-09-23,口湖鄉崙中村民生路42號,班主任變更未核備；未提供服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(自主檢查表)；未提出公安申報,限期改善件次,2020-10-05,府教社二字第1092435899號
12,私立小騏仕文理短期補習班,2020-09-09,虎尾鎮明正東路46號3樓,教職員工異動未核備；未經核准使用1樓班舍；未提供服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(防治要點、禁騷聲名、自主檢查表、張貼海報及貼紙處),限期改善件次,2020-09-24,府教社二字第1092435174號
13,私立桂味文理技藝短期補習班,2020-09-02,斗六市莊敬路236號2-3樓,未提供立案證書、收費收據退費規定、服務契約書、個人資料檔案安全維護計畫、性騷擾防治資料(防治要點、禁騷聲名、年度自主檢查表),限期改善件次,2020-09-25,府教社二字第1092435217號
14,私立新力行文理短期補習班,2020-08-27,斗六市虎溪里正心路18號,未辦理公共安全申報,限期改善件次,2020-09-01,府建用二字第1093925189號
