序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,葳格學校財團法人臺中市葳格高級中學附設臺中市私立葳格文理短期補習班,2016-01-19,北屯區軍福十九路329號1樓,1.未依規辦理防火管理人、消防防護計畫2.設置科目班級數不符3.英文科、數學科、國文科應辦理增加班級數(D1050119-1),限期改善件次,2016-01-22,中市教社字第1050004144號
2,私立翔晟文理短期補習班,2016-01-13,"42746 臺中市潭子區得福街141號1-3樓",1.未依規登載或更新資訊管理系統2.未依規簽訂服務契約書3.廣告招牌及招生科目與立案不符4.不得以安親課輔招生及從事安親課輔5.收據未符規定6.廣告物未申請設立許可7.增建違章建築(B1050113-1),限期改善件次,2016-01-15,中市教社字第1050003865號
3,私立北一文理短期補習班,2010-11-25,"402台中市南區復興路3段386號1-2樓及380號11-12樓 11/30止暫停招生主交查","經查刊登傳播印發或張貼誇大不實之招生宣傳文字,顯有廣告不實之虞及欺騙消費者處停止招生三個月99.12.15起至100.03.15止",停止招生三個月,2010-12-15,府教社字第0990348397號
4,財團法人功學社學術獎助基金會附設台中市私立欣雅音樂短期補習班,2010-11-17,404台中市北區陝西路47號1-2樓、地下1樓及陝西路49號2樓主交查,未依規於補習班資訊系統登載並更新教師資料理,限期改善件次,2010-11-22,0990337944
5,私立藍海文理短期補習班,2010-11-03,台中市西區403民生路338號1~2樓*復查,查時巳歇業將發函依規公告撤銷立案,公告撤銷立案,2010-12-21,0990366169
6,私立儒門文理電腦短期補習班,2010-10-26,406台中市北屯區崇德路2段222號1~3樓,1.廣告物未申請設立許可2.增建違章建築,限期改善件次,2010-11-05,0990322533
7,私立飛翔音樂舞蹈短期補習班,2010-10-26,406台中市北屯區河北路2段184號1~2樓,1.消防安全設備不符規定2.未依規定辦理消防安全設備檢修申報3.防火管理人，消防防護計畫未依規定辦理4.未出示公共意外險保單5.未依規於補習班資訊系統登載並更新教師資料理,限期改善件次,2010-11-05,0990317295
8,私立維琪特文理短期補習班,2010-10-25,406台中市北屯區崇德六路1段213號1-4樓*消10/5,1.廣告物未申請設立許可2.增建違章建築3.消防安全設備不符規定4.未依規於補習班資訊系統登載並更新教師資料理,限期改善件次,2010-11-01,0990317294
9,私立聚英文理短期補習班,2010-10-18,402台中市南區瑞豐街82號1~4樓,1.廣告物未申請設立許可2.未出示公共意外險保單3未依規於補習班資訊系統登載並更新教師資料理.,限期改善件次,2010-11-03,0990317293
10,私立小神童才藝中心,2010-10-11,408台中市南屯區寶山五街21號1~4樓,1.廣告物未申請設立許可2.增建違章建築,限期改善件次,2010-11-05,0990323276
11,私立北一文理短期補習班,2010-10-08,402台中市南區復興路3段386號1-2樓及380號11-12樓*主辦交查,1.未維護建築物構造及設備安全2.廣告物未申請設立許可3.增建違章建築4未依規於補習班資訊系統登載並更新教師資料理.,限期改善件次,2010-10-26,0990294474
12,私立吉瑞福美語數學短期補習班,2010-10-04,北屯區昌平路2段12巷5號1-4樓,未經核准擅自擴充班舍,限期改善件次,2010-10-22,0990308968
13,私立儒林文理短期補習班,2010-10-04,404台中市北區三民路3段217號7樓之7、7樓之18*曙交查收據,未依照規定製作收費收據,限期改善件次,2010-11-05,0990322510
14,私立李斯特文理短期補習班,2010-10-01,403台中市西區忠明南路430號1-2樓*主辦交查,未依規於補習班資訊系統登載並更新教師資料理,限期改善件次,2010-10-20,0990286395
15,私立高點文理短期補習班逢甲分班,2010-09-29,407台中市西屯區河南路2段319號4樓之5、4樓之6*主管交查,未依規於補習班資訊系統登載並更新教師資料,限期改善件次,2010-11-09,0990326637
16,私立維琪特文理短期補習班,2010-09-28,06台中市北屯區崇德六路1段213號1-4樓*消通報9/2,1.廣告物未申請設立許可2.增建違章建築3.未出示公共意外險保單,限期改善件次,2010-10-04,0990286146
17,私立佳&amp;#20247;美語會話短期補習班,2010-09-28,404台中市北區篤行路308號1~2樓,廣告物未申請設立許可,限期改善件次,2010-10-04,0990286136
18,私立龍門工商管理財稅金融職業短期補習班,2010-09-16,400台中市中區雙十路1段19巷3號2~3樓*9/8消通報,增建違章建築,限期改善件次,2010-09-27,0990275816
19,私立威尼斯美語短期補習班,2010-09-15,407台中市西屯區逢甲路155號1-2樓*,廣告物未申請設立許可,限期改善件次,2010-10-04,0990275815
20,私立威尼斯美語短期補習班三民分班,2010-09-14,404台中市北區三民路3段142之1號1-2樓*,1.消防安全設備不符規定2.未依規定使用防焰物品3.防火管理人，消防防護計畫未依規定辦理,限期改善件次,2010-09-29,0990272603
21,私立品範美語短期補習班,2010-09-13,南屯區河南路4段386號1-4,廣告物未申請設立許可,限期改善件次,2010-09-27,0990275818
22,私立當代美語會話短期補習班,2010-09-07,408台中市南屯區大墩十街262號1~3樓,1.廣告物未申請設立許可2.消防安全設備不符規定,限期改善件次,2010-09-20,0990272596
23,私立歐森英語短期補習班,2010-08-31,402台中市南區福田路82號1樓*88號2樓,廣告物未申請設立許可,限期改善件次,2010-09-08,0990256849
24,私立中儒林文理短期補習班,2010-08-30,404台中市北區三民路3段125號6樓*檢,未依照規定製作收費收據,限期改善件次,2010-09-06,0990256389
25,私立北一文理短期補習班,2010-08-26,402台中市南區復興路3段386號1-2樓及380號11-12樓*急查,1.有關貴班發生四技二專爆竄改成績乙案請文到一週內說明見復2.未設國中班課程3.補學生名冊,限期改善件次,2010-09-02,0990249813
26,私立方圓圍棋教室短期補習班國光分班,2010-08-19,402台中市南區國光路218之1號1-2樓*中區國稅局99.8.1035816函通報,1.未出示公共意外險保單2.貴班不得請工讀生擔任教師,限期改善件次,2010-09-06,0990249029
27,私立方圓圍棋短期補習班大光分班,2010-08-18,408台中市南屯區大光街265號1~2樓*中區國稅99.8.1035816號函通報,1.廣告物未申請設立許可2.未出示公共意外險保單3.不得請工讀生擔任教師,限期改善件次,2010-09-02,0990249028
28,私立立新文理短期補習班,2010-08-17,406台中市北屯區北華街113巷2號1樓(整編為國豐街262號),1.廣告物未申請設立許可2.未出示公共意外險保單,限期改善件次,2010-08-26,0990246015
29,私立方圓圍棋教室短期補習班(瀋陽分班),2010-08-16,406台中市北屯區瀋陽路2段198之2號3樓,廣告物未申請設立許可,限期改善件次,2010-08-26,0990246856
30,私立方圓圍棋教室短期補習班,2010-08-16,406台中市北屯區北平路4段123號5樓,1.廣告物未申請設立許可2.消防安全設備不符規定3.未依規定辦理消防安全設備檢修申報4防火管理人，消防防護計畫未依規定辦理,限期改善件次,2010-08-26,0990246864
31,私立小領袖電腦附設美語短期補習班,2010-08-10,404台中市北區北平二街16號1~3樓,1.增建違章建築2.消防安全設備不符規定,限期改善件次,2010-08-23,0990241381
32,私立傑冠文理附設電腦短期補習班,2010-08-09,406台中市北屯區綏遠路2段171號1-3樓,1.消防安全設備不符規定2.未依規定辦理消防安全設備檢修申報3.未依規定使用防焰物品4.防火管理人，消防防護計畫未依規定辦理,限期改善件次,2010-08-27,0990247273
33,私立遊戲美語會話短期補習班,2010-08-09,406台中市北屯區綏遠路2段173號1~3樓*,1.增建違章建築2.未出示公共意外險保單,限期改善件次,2010-08-27,0990247322
34,私立李斯特文理短期補習班,2010-08-06,403台中市西區忠明南路430號1-2樓*主交嚴查增設自然加盟陽明系統,1.未經核准擅自增設&amp;#38954;科2.班(園)名、招牌未照規定書寫者請拆除3.學生受傷情勢應,限期改善件次,2010-08-16,0990227519
35,陽明文教事業有限公司附設台中市私立陽明文理短期補習班,2010-08-06,404台中市北區健行路475號1-4樓*主交查派遣教師至各班教學,1.班(園)名、招牌未照規定書寫懸掛2.未經核准擅自擴充班舍,限期改善件次,2010-08-16,0990227598
36,私立高飛群英文數學短期補習班,2010-08-04,407台中市西屯區甘肅路1段116號1~2樓*,招牌及立案字號未照規定書寫,限期改善件次,2010-08-18,0990224116
37,私立王牌文理短期補習班,2010-08-03,407台中市西屯區西屯路2段295之17號1樓,1.廣告物未申請設立許可2.立案證書未依規定懸掛,限期改善件次,2010-08-17,0990233115
