序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立旋轉木馬美語短期補習班,2021-01-08,中壢區忠孝路294號1-2F,一、本案前經本府補習班稽查小組於108年7月1日前往該班稽查，查有營業性質不符(兼營兒童課後照顧、幼兒托育等非屬短期補習服務)之班務缺失屬實，爰依短期補習班設立及管理準則第35條規定，以108年7月10日府教終字第1080168348號裁處書，處分限期整頓改善在案。二、復經本府補習班稽查小組於110年1月8日前往該班複查，仍查有營業性質不符(兼營兒童課後照顧、幼兒托育等非屬短期補習服務)之班務缺失屬實。前開班務缺失經查屬實，前經本府查處限期改善在案，迄至複查結果，仍查獲「營業性質不符」之班務缺失未見改善作為，因案涉違規經營，已嚴重影響民眾合法權益，是以認定情節嚴重，爰依補習及進修教育法第25條規定，予以停止招生3個月處分。,停止招生三個月,2021-01-13,府教終字第1100008074號裁處書
2,私立內立文城文理短期補習班,2020-05-11,中壢區信義路59號1-2樓,"一、本案前經本府補習班稽查小組於109年1月6日前往貴班稽查，查有「班舍地址不符(立案核准1-2樓，違規使用3樓)」之班務缺失屬實，爰依補習及進修教育法第25條規定，以109年1月10日府教終字第1090005898號裁處書，處分限期整頓改善在案。 二、復經本府補習班稽查小組於109年5月11日前往貴班複查，仍查有「班舍地址不符(立案核准1-2樓，違規使用3樓)」及其他相關班務缺失屬實。上開班務缺失未見改善作為，且案涉場所公安影響學生安全及權益甚鉅，其違規經營亦嚴重影響合法民眾權益，據以認定情節嚴重，爰依補習及進修教育法第25條規定，予以停止招生3個月處分。",停止招生三個月,2020-05-18,府教終字第1090119954號裁處書
3,私立學聖文理語文數學短期補習班,2020-05-11,中壢區復華七街31號1樓及33號1樓,"一、本案前經本府補習班稽查小組於109年1月6日前往貴班稽查，查有「班舍地址不符(立案核准31、33號1樓，違規使用31號2樓)」之班務缺失屬實，爰依補習及進修教育法第25條規定，以109年1月10日府教終字第1090005917號裁處書，處分限期整頓改善在案。 二、復經本府補習班稽查小組於109年5月11日前往貴班複查，仍查有「班舍地址不符(立案核准31、33號1樓，違規使用31號2樓)」及其他相關班務缺失屬實。上開班務缺失未見改善作為，且案涉場所公安影響學生安全及權益甚鉅，其違規經營亦嚴重影響合法民眾權益，據以認定情節嚴重，爰依補習及進修教育法第25條規定，予以停止招生3個月處分。",停止招生三個月,2020-05-18,府教終字第1090119924號裁處書
4,私立劍橋升大學文理語文短期補習班,2020-04-09,中壢區中央東路88號15樓,"本案前經本府補習班稽查小組於108年5月22日前往貴班稽查，查有班舍地址不符之班務缺失屬實，係未經核准擅自遷至中壢區中央東路19號3樓，爰依短期補習班設立及管理準則第35條規定，以108年5月28日府教終字第1080130855號裁處書，處分限期整頓改善在案。 (二)復經本府補習班稽查小組於109年4月9日前往違規班址(中央東路19號3樓)複查，惟該地址現場已完全淨空，非補習班經營，據以認定未經核准擅自停業(及遷址不明)，為維護民眾權益及加強補習班管理，爰依行政程序法規定以109年4月23日府教終字第1090097454號函通知相對人限期陳述意見，並依規定辦理送達。 (三)貴班以109年4月30日申請書函復陳述意見：略以原遷移至中壢東路19號3樓，欲辦理補習班遷移地址，經委託建築師代辦後，才得知屋主已擅自更改房屋結構無法辦理，故再遷至中壢區復興路35號7樓，已再委請建築師代為辦理，因使用執照變更補習班需要6個月，期間必與教育局保持進度報告，希望能儘早完成遷移程序云云&hellip;&hellip;。 (四)前開班務缺失經查屬實，業已函請限期整頓改善在案，迄至複查結果，仍查獲「未經核准擅自遷址」之班務缺失，因案涉場所公共安全之疑慮，影響學生安全及權益甚鉅，是以認定情節嚴重，為加強補習班管理，擬依補習及進修教育法第25條規定，予以停止招生3個月處分。",停止招生三個月,2020-05-13,府教終字第1090113311號裁處書
5,私立博士龍門文理短期補習班,2020-03-25,中壢區後興路一段25號1~3樓,"本案前經本府補習班稽查小組於107年4月11日前往貴班稽查，查有「班舍地址不符(立案核准25號1-3樓，違規使用15、17號1-4樓)及營業性質不符(涉及兼辦兒童課後照顧服務等非屬補習業務)」等班務缺失屬實，爰依短期補習班設立及管理準則第35條規定，以107年5月2日府教終字第1070100483號裁處書，處分限期整頓改善在案。 (二)復經本府補習班稽查小組於109年3月25日前往該班複查，仍查有班舍地址不符((立案核准25號1-3樓，違規使用15、17號1-4樓)及營業性質不符(涉及兼營兒童課後照顧服務等非屬補習業務)及其他相關班務缺失屬實。上開班務缺失未見改善作為，且案涉場所公安影響學生安全及權益甚鉅；其違規經營亦嚴重影響合法民眾權益，據以認定情節嚴重，爰依補習及進修教育法第25條規定，予以停止招生3個月處分。",停止招生三個月,2020-04-13,府教終字第1090085166號裁處書
6,私立津煜美語電腦短期補習班,2020-03-25,中壢區金鋒街15號1-2樓及3號1-2樓,"(一)本案前經本府補習班稽查小組於106年7月26日前往貴班稽查，查有「班舍地址不符(立案核准15號1-2樓及3號1-2樓，違規使用15號3樓及17號3-4樓)及營業性質不符(涉及兼營兒童課後照顧服務中心等非屬補習業務)」等班務缺失屬實，爰依短期補習班設立及管理準則第35條規定，以106年9月14日府教終字第1060217893號函，予以限期整頓改善在案。 (二)復經本府補習班稽查小組於108年7月10日前往貴班複查，仍查有班舍地址不符(立案核准15號1-2樓及3號1-2樓，違規使用15號3樓及17號4樓)及營業性質不符(涉及兼營兒童課後照顧服務中心等非屬補習業務)及其他相關班務缺失屬實，爰依補習及進修教育法第25條規定，以108年7月18日府教終字第1080177250號裁處書，處分停止招生3個月併請限期整頓改善在案。 (三)本府補習班稽查小組於109年3月25日再次前往貴班複查，仍查有班舍地址不符(立案核准15號1-2樓及3號1-2樓，違規使用15號3-4樓及17號4樓)及營業性質不符(涉及兼營兒童課後照顧服務中心等非屬補習業務)等班務缺失屬實。上開班務缺失未見改善作為，且案涉場所公安影響學生安全及權益甚鉅；其違規經營亦嚴重影響合法民眾權益，據以認定情節嚴重，爰依補習及進修教育法第25條規定，處分停止招生6個月。",停止招生六個月,2020-04-13,府教終字第1090085299號裁處書
7,私立富民室內配線機電修護短期補習班,2020-01-10,桃園區壽昌街9號1，2樓,"(一)本府前經本府短期補習班聯合稽查小組於108年3月20日前往稽查，查有擅自擴充班舍（3-4樓）及增設教室之班務缺失屬實，爰以108年4月17日府教終字第1080090064號裁處書，予以限期整頓改善處分。 (二)復經本府補習班稽查小組於109年1月10日前往該班複查，仍查有擅自擅自擴充班舍（3-4樓）及增設教室及其他相關班務缺失屬實。上開班務缺失未見改善，且案涉場所公共安全之疑慮，影響學生安全及權益甚鉅，是以認定情節重大，復依補習及進修教育法第25條規定，予以停止招生3個月處分。",停止招生三個月,2020-02-04,府教終字第1090021897號裁處書
8,私立精業文理短期補習班,2020-01-02,蘆竹區光明路一段113號1樓及60巷11號1樓,"(一)本案前經本府補習班稽查小組於109年1月2日前往貴班稽查，查有「擅自遷址、未見招牌、未見立案證書、未見公共意外保險、未見服務契約書、未見個資維護計畫、線上未更新教職員履歷、未見性騷擾防治計畫」等班務缺失屬實，爰依補習及進修教育法第25條規定，以109年1月7日府教終字第1090004125號函，予以陳述意見。 (二)嗣經貴班於109年1月14日陳述意見，表示於一個月內搬至新址桃園市蘆竹區光明路一段60巷22號3樓（檢附租賃契約書一份），並表示會來府辦理補習班變更班址業務&hellip;&hellip;云云，惟查至今尚未收到貴班來府辦理變更文件，因案涉場所公共安全之疑慮，影響學生安全及權益甚鉅，是以認定情節嚴重，爰依補習及進修教育法第25條規定，以109年3月4日府教終字第1090047075號函，予以停止招生3個月處分，並公告之。停止招生期間將持續追蹤其缺失改善情形。",停止招生三個月,2020-03-04,府教終字第090047075號裁處書
9,私立雙博士美語短期補習班,2019-10-17,桃園區宏昌七街45號2樓,"(一)本府前經補習班稽查小組於108年1月23日前往貴班稽查，查有「營業性質不符（涉及兼辦兒童課後照顧服務等非屬補習班業務）」之班務缺失屬實，爰依補習及進修教育法第25條規定，以108年2月13日府教終字第1080028833號函，予以限期整頓改善。 (二)復經本府補習班稽查小組於108年10月17日複查，仍查有「營業性質不符（涉及兼辦兒童課後照顧服務等非屬補習班業務）」及其他相關班務缺失屬實。上開班務缺失未見改善，其違規經營嚴重影響合法民眾權益，是以認定情節重大，復依補習及進修教育法第25條規定，予以停止招生3個月處分。",停止招生三個月,2019-10-31,府教終字第1080272290號裁處書
10,私立雷恩斯語文短期補習班,2019-10-07,蘆竹區吉林路119號及121號1樓,"(一)本案前經本府補習班稽查小組於108年7月15日前往貴班稽查，查有「教室間數不符(立案核准3間，現場5間)及營業性質不符(涉及兼辦兒童課後照顧服務等非屬補習業務)」等班務缺失屬實，爰依補習及進修教育法第25條規定，以108年7月23日府教終字第1080182807號函，予以限期整頓改善在案。 (二)復經本府補習班稽查小組於108年10月7日前往貴班複查，仍查有「教室間數不符(立案核准3間，現場4間)及營業性質不符(涉及兼營兒童課後照顧服務等非屬補習業務)」之班務缺失未見改善作為，因案涉場所公安影響學生安全及權益甚鉅，其違規經營亦嚴重影響合法民眾權益，據以認定情節嚴重，為加強補習班管理，擬依補習及進修教育法第25條規定，處分停止招生3個月，並公告之。另查有「招牌名稱不符規定(未見立案字號)、立案證書未懸掛正本、收費收據不符（內容未符：立案字號）」",停止招生三個月,2019-10-18,府教終字第1080260021號裁處書
